Edina JS,vs,Walt Whitman DP,Ivy Street RR 2022,,https://youtu.be/svXkurJfBHA,Legalize all drugs
Quarry Lane NG,vs,Ransom Everglades RT,Ivy Street RR 2022,,https://youtu.be/5RNvYYzc3-4,Legalize all drugs
American Heritage BF,vs,Flintridge Prep VZ,Ivy Street RR 2022,,https://youtu.be/AN2QoUUq-bk,Legalize all drugs
Walt Whitman DP,vs,College Prep BB,Ivy Street RR 2022,,https://youtu.be/A_KoXJBXNv8,Legalize all drugs
Marist EL,vs,Flintridge Prep VZ,Ivy Street RR 2022,,https://youtu.be/cn0XlxlZs6Y,Legalize all drugs
Quarry Lane NG,vs,Walt Whitman DP,Ivy Street RR 2022,,https://youtu.be/pDlyzep0gJo,Legalize all drugs
Brentwood HM,vs,Strake Jesuit DK,Ivy Street RR 2022,,https://youtu.be/t0u41h4sPy4,Legalize all drugs
Marist EL,vs,Poly Prep LS,Ivy Street RR 2022,,https://youtu.be/s2eouQtZtOU,Legalize all drugs
Ransom Everglades RT,vs,Strake Jesuit DK,Ivy Street RR 2022,,https://youtu.be/ZyceSpL6px8,Legalize all drugs
Edina JS,vs,Brentwood HM,Ivy Street RR 2022,,https://youtu.be/zO4UssGXC2s,Legalize all drugs
Quarry Lane NG,vs,College Prep BB,Ivy Street RR 2022,,http://www.youtube.com/watch?v=c6kgyhWKBUs,Legalize all drugs
Fairmont Prep GG,vs,Flintridge Prep VZ,Ivy Street RR 2022,,http://www.youtube.com/watch?v=4p6Moe8gnas,Legalize all drugs
Walt Whitman DP,vs,Strake Jesuit DK,Ivy Street RR 2022,,https://youtu.be/3gXnlRJaWDY,Legalize all drugs
Edina JS,vs,College Prep BB,Ivy Street RR 2022,,https://youtu.be/cqlFWNRoDj8,Legalize all drugs
Fairmont Prep GG,vs,Poly Prep LS,Ivy Street RR 2022,,https://youtu.be/_0LWmiQrbAk,Legalize all drugs
Walt Whitman DP,vs,Brentwood HM,Ivy Street RR 2022,,https://youtu.be/BgCPD8qYbdY,Legalize all drugs
Ransom Everglades RT,vs,College Prep BB,Ivy Street RR 2022,,https://youtu.be/t0XvDPzvmok,Legalize all drugs
Flintridge Prep VZ,vs,Blake TW,Ivy Street RR 2022,,https://youtu.be/HiQaiQhDbNA,Legalize all drugs
College Prep BB,vs,Strake Jesuit DK,Ivy Street RR 2022,,https://youtu.be/VEG0pnSuONE,Legalize all drugs
Blake TW,vs,American Heritage BF,Ivy Street RR 2022,,https://youtu.be/hgikObPXFHY,Legalize all drugs
Marist EL,vs,Westlake LR,Ivy Street RR 2022,,https://youtu.be/txVPO1bInB4,Legalize all drugs
,,,,,,
Strake DK,vs,Ransom GR,Cavalier Invite (Durham) '22,Semis,https://youtu.be/bNQMWZT7E9M,Legalize all drugs
,,,,,,
DebateUS MP,vs,DebateUS BS,DebateUS! Demo,Demo,https://www.youtube.com/watch?v=lNXwtMJvt_w,Turkey NATO membership
,,,,,,
Ransom RT,vs,American Heritage RS,Sunvite 2022,Finals,https://youtu.be/4dcMWLKCxNg,Legalize all drugs
American Heritage RS,vs,College Prep HP,Sunvite 2022,Semis,https://youtu.be/F8a1-yEW2Lg,Legalize all drugs
Ransom RT,vs,Chantilly KN,Sunvite 2022,Semis,https://youtu.be/OpCZN7GTFe4,Legalize all drugs
Marist LE,vs,Chantilly KN,Sunvite 2022,Quarters,https://youtu.be/GkL-l7z-AOk,Legalize all drugs
Norman North SG,vs,College Prep HP,Sunvite 2022,Quarters,https://youtu.be/_UsSwxir2TA,Legalize all drugs
